"","CO_IES","CO_CATEGAD","CO_GRUPO","CO_CURSO","CO_MODALIDADE","CO_MUNIC_CURSO","CO_UF_CURSO","CO_REGIAO_CURSO","CO_TURNO_GRADUACAO","TP_SEXO","NU_IDADE","QE_I01","QE_I02","QE_I06","QE_I07","QE_I08","QE_I10","QE_I23","NT_GER","NT_CE","NT_OBJ_FG","NT_OBJ_CE","DS_VT_ESC_OFG","DS_VT_ESC_OCE","DS_VT_ACE_OFG","DS_VT_ACE_OCE","TP_PR_GER"
"1",14,5,4006,1261,1,4318705,43,4,4,"M",33,"E","D","C","B","C","E","B",53.4,49.3,62.5,54.5,"DCAECEAD","CDDACDEDBBBEBDDAEEABDEBBCBA","01001111","990008011111111091109010100",555
"2",14,5,4006,1261,1,4318705,43,4,4,"M",23,"A","A","B","C","E","E","C",42.5,37.9,62.5,36.4,"ACDCCEAD","EDCBEDCDBEBEDAEADAEEECBCBDE","01001111","990018011011000090019110000",555
"3",14,5,4006,1261,1,4318705,43,4,4,"M",24,"A","A","B","C","F","E","B",62.1,59.7,75,59.1,"CBCBCEAD","EDACBCADBACEBEDDCEADDCCECBC","10011111","991108111001101091109100101",555
"4",14,5,4006,1261,1,4318705,43,4,4,"M",27,"A","A","B","C","F","E","B",54.1,59.6,62.5,63.6,"AAABCEAD","EEAAEDAEBBBABEBADAAEACBACCC","00011111","991018101110100090119110111",555
"5",14,5,4006,1261,1,4318705,43,4,4,"M",25,"A","A","B","B","D","E","E",33.6,34.8,50,40.9,"ACABCEEC","ACACDAEBBEDBABDCDEACECADCAB","01011100","991108001000001091109101100",555
"6",14,5,4006,1261,1,4318705,43,4,4,"M",23,"A","A","B","D","E","E","B",53.5,48.8,62.5,54.5,"CACACEAD","CCACCDCEBCBEBDBCDBAECCCCCCB","10001111","991108001011110090119100110",555
"7",14,5,4006,1261,1,4318705,43,4,4,"M",24,"A","A","B","B","F","E","A",52.2,50.2,62.5,59.1,"CABBEEAB","CEBEDDABBCCEBDDABEAAACCDCCC","10110110","990008101001111091109101111",555
"8",14,5,4006,1261,1,4318705,43,4,4,"M",30,"E","A","C","B","F","E","E",52.7,50.2,62.5,59.1,"ECBBCEBE","EBECEEADBACCDDDCEAEEEBBDCCC","01111100","990118111000011090019011111",555
"9",14,5,4006,1261,1,4318705,43,4,4,"M",22,"A","A","B","C","F","E","B",53.7,54.1,87.5,63.6,"CDBBCEAD","ECECDEADEBBEBEDACDAEDBBECCC","10111111","990108110111101090119010111",555
"10",14,5,4006,1261,1,4318705,43,4,4,"M",35,"A","A","B","E","F","E","B",54.4,51.7,87.5,59.1,"ACBBCEAD","ECCCEDBDBBBADDDCACAADCADCBC","01111111","990118011110011090109101101",555
"11",14,5,4006,1261,1,4318705,43,4,4,"M",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222
"12",14,5,4006,1261,1,4318705,43,4,1,"M",36,"B","F","C","B","D","E","B",64.2,68.2,62.5,77.3,"DABDCEAD","EBACCDCDBABEBDDBDEAEECAECCC","00101111","991108011011111191119100111",555
"13",14,5,4006,1261,1,4318705,43,4,4,"M",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222
"14",14,5,4006,1261,1,4318705,43,4,1,"M",47,"A","A","B","C","D","E","B",40.6,27,87.5,31.8,"ACBBCEAD","ACCEDDBDBABBCBCDDCADDBBDCBE","01111111","990008011010000090109011100",555
"15",14,5,4006,1261,1,4318705,43,4,4,"M",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222
"16",14,5,4006,1261,1,4318705,43,4,4,"M",25,"A","A","B","D","F","E","C",24.6,13.1,50,13.6,"CADBEEBD","BACEEABDDBCDCABEADBBAECBDAE","10010101","990018010100000090009000000",555
"17",14,5,4006,1261,1,4318705,43,4,4,"M",27,"A","F","B","C","C","E","C",30.1,27,50,31.8,"DCAECEBD","DCCECEBDBACDBDEDACEEDEBACBB","01001101","990008011000110090019010100",555
"18",14,5,4006,1261,1,4318705,43,4,4,"F",23,"A","A","B","C","E","E","B",40.4,34.8,37.5,40.9,"BCAACBED","CCCDEDADBCEDEDCBDBEEEADECCA","01001001","990018111000010190019000110",555
"19",14,5,4006,1261,1,4318705,43,4,4,"M",34,"A","F","B","B","E","E","B",53.7,54.1,87.5,63.6,"ACBBCEAD","EBCCCEADBABEDEEBCEEEBCBECCC","01111111","990108111011000191019110111",555
"20",14,5,4006,1261,1,4318705,43,4,4,"M",30,"A","F","B","D","B","B","B",50.9,46,62.5,50,"ACDBCEAE","EBBDCECDBACEBDABADADACBECBC","01011110","990008011001110190109110101",555
"21",14,5,4006,1261,1,4318705,43,4,4,"M",33,"A","A","C","B","E","E","B",40.1,34.8,50,40.9,"CCABDECE","CCCDEDADBBCADEEDDEAAEBEECCA","11010100","990018111100000091109000110",555
"22",14,5,4006,1261,1,4318705,43,4,4,"M",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222
"23",14,5,4006,1261,1,4318705,43,4,4,"M",28,"A","A","B","B","E","E","C",72.8,70.5,75,72.7,"CABBEEAD","CDACECEDBCBEBDDACAAAECCDCCC","10110111","991118011011111090109101111",555
"24",14,5,4006,1261,1,4318705,43,4,4,"M",22,"A","A","B","B","F","E","E",54.5,54.6,50,54.5,"CCEACEBE","EDCCBDADBCECBEDEAEADEBBDCCB","11001100","990108111000101091109011110",555
"25",14,5,4006,1261,1,4318705,43,4,4,"M",22,"A","A","B","C","F","E","B",44.6,40.3,50,40.9,"EBBBCECC","EBACDEADCABCBEEDBEABEBCDBBB","00111100","991108110010100091109001000",555
"26",14,5,4006,1261,1,4318705,43,4,4,"M",21,"A","A","B","D","F","E","B",68.1,74,62.5,77.3,"AEBBCEAE","EDACEDADBCEEDDDCDEAEECBACCC","00111110","991118111001011091119110111",555
"27",14,5,4006,1261,1,4318705,43,4,4,"M",27,"A","A","A","A","A","D","B",NA,NA,NA,NA,NA,NA,NA,NA,222
