ID;CO_IES;CO_CURSO;CO_MUNIC_CURSO;CO_UF_CURSO;NU_IDADE;NT_GER;NT_CE;NT_OBJ_FG;NT_OBJ_CE;DS_VT_ESC_OFG;DS_VT_ESC_OCE;DS_VT_ACE_OFG;DS_VT_ACE_OCE;TP_PR_GER;CURSO;REGIAO;TURNO;CATEGORIA_IES;MODALIDADE;SEXO;ESTADO_CIVIL;RACA;MORADIA;FAMILIARES;RENDA;TRABALHO;FAIXA_ETARIA
1;14;1261;4318705;43;33;53.4;49.3;62.5;54.5;DCAECEAD;CDDACDEDBBBEBDDAEEABDEBBCBA;1001111;9,90008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Outro;Indigena;Cônjuge e/ou filhos;Um;3 a 4,5 S.M;40h ou +;Acima de 30 Anos
2;14;1261;4318705;43;23;42.5;37.9;62.5;36.4;ACDCCEAD;EDCBEDCDBEBEDAEADAEEECBCBDE;1001111;9,90018E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;6 a 10 S.M;40h ou +;Até 24 Anos
3;14;1261;4318705;43;24;62.1;59.7;75;59.1;CBCBCEAD;EDACBCADBACEBEDDCEADDCCECBC;10011111;9,91108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;10 a 30 S.M;40h ou +;Até 24 Anos
4;14;1261;4318705;43;27;54.1;59.6;62.5;63.6;AAABCEAD;EEAAEDAEBBBABEBADAAEACBACCC;11111;9,91018E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;10 a 30 S.M;40h ou +;Entre 25 e 30 Anos
5;14;1261;4318705;43;25;33.6;34.8;50;40.9;ACABCEEC;ACACDAEBBEDBABDCDEACECADCAB;1011100;9,91108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;4,5 a 6 S.M;40h ou +;Entre 25 e 30 Anos
6;14;1261;4318705;43;23;53.5;48.8;62.5;54.5;CACACEAD;CCACCDCEBCBEBDBCDBAECCCCCCB;10001111;9,91108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;6 a 10 S.M;40h ou +;Até 24 Anos
7;14;1261;4318705;43;24;52.2;50.2;62.5;59.1;CABBEEAB;CEBEDDABBCCEBDDABEAAACCDCCC;10110110;9,90008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;10 a 30 S.M;40h ou +;Até 24 Anos
8;14;1261;4318705;43;30;52.7;50.2;62.5;59.1;ECBBCEBE;EBECEEADBACCDDDCEAEEEBBDCCC;1111100;9,90118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Outro;Branca;Cônjuge e/ou filhos;Um;10 a 30 S.M;40h ou +;Acima de 30 Anos
9;14;1261;4318705;43;22;53.7;54.1;87.5;63.6;CDBBCEAD;ECECDEADEBBEBEDACDAEDBBECCC;10111111;9,90108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;10 a 30 S.M;40h ou +;Até 24 Anos
10;14;1261;4318705;43;35;54.4;51.7;87.5;59.1;ACBBCEAD;ECCCEDBDBBBADDDCACAADCADCBC;1111111;9,90118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Quatro;10 a 30 S.M;40h ou +;Acima de 30 Anos
11;14;1261;4318705;43;47;40.6;27;87.5;31.8;ACBBCEAD;ACCEDDBDBABBCBCDDCADDBBDCBE;1111111;9,90008E+26;555;Sistemas de Informação;Sul;Matutino;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;4,5 a 6 S.M;40h ou +;Acima de 30 Anos
12;14;1261;4318705;43;25;24.6;13.1;50;13.6;CADBEEBD;BACEEABDDBCDCABEADBBAECBDAE;10010101;9,90018E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;10 a 30 S.M;40h ou +;Entre 25 e 30 Anos
13;14;1261;4318705;43;23;40.4;34.8;37.5;40.9;BCAACBED;CCCDEDADBCEDEDCBDBEEEADECCA;1001001;9,90018E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Feminino;Solteiro;Branca;Pais e/ou parentes;Dois;6 a 10 S.M;40h ou +;Até 24 Anos
